|     | gender   | race/ethnicity                     | parental level of education   | lunch        | test preparation   |   math score |   reading score |   writing score |   average score |
| 61  | male     | White - British                    | some high school              | free/reduced | none               |           39 |              39 |              34 |         37.3333 |
| 62  | male     | White - British                    | associate's degree            | free/reduced | none               |           62 |              61 |              55 |         59.3333 |
| 63  | female   | White - Any other White background | associate's degree            | standard     | none               |           69 |              80 |              71 |         73.3333 |
| 64  | female   | Mixed - White and Black Caribbean  | some high school              | standard     | none               |           59 |              58 |              59 |         58.6667 |
| 65  | male     | White - Irish                      | some high school              | standard     | none               |           67 |              64 |              61 |         64      |
| 66  | male     | Mixed - White and Black Caribbean  | some high school              | free/reduced | none               |           45 |              37 |              37 |         39.6667 |
| 67  | female   | White - Any other White background | some college                  | standard     | none               |           60 |              72 |              74 |         68.6667 |
| 68  | male     | White - Irish                      | associate's degree            | free/reduced | none               |           61 |              58 |              56 |         58.3333 |
| 69  | female   | White - Any other White background | associate's degree            | standard     | none               |           39 |              64 |              57 |         53.3333 |
| 70  | female   | Mixed - White and Black Caribbean  | some college                  | free/reduced | completed          |           58 |              63 |              73 |         64.6667 |
| 71  | male     | Mixed - White and Black Caribbean  | some college                  | standard     | completed          |           63 |              55 |              63 |         60.3333 |
| 72  | female   | White - British                    | associate's degree            | free/reduced | none               |           41 |              51 |              48 |         46.6667 |
| 73  | male     | White - Any other White background | some high school              | free/reduced | none               |           61 |              57 |              56 |         58      |
| 74  | male     | White - Any other White background | some high school              | standard     | none               |           49 |              49 |              41 |         46.3333 |
| 75  | male     | White - Irish                      | associate's degree            | free/reduced | none               |           44 |              41 |              38 |         41      |
| 76  | male     | Mixed - White and Black African    | some high school              | standard     | none               |           30 |              26 |              22 |         26      |
| 77  | male     | White - British                    | bachelor's degree             | standard     | completed          |           80 |              78 |              81 |         79.6667 |
| 78  | female   | Mixed - White and Black Caribbean  | some high school              | standard     | completed          |           61 |              74 |              72 |         69      |
| 79  | female   | Mixed - White and Black African    | master's degree               | standard     | none               |           62 |              68 |              68 |         66      |
| 80  | female   | White - Irish                      | associate's degree            | standard     | none               |           47 |              49 |              50 |         48.6667 |
| 81  | male     | White - Irish                      | high school                   | free/reduced | none               |           49 |              45 |              45 |         46.3333 |
| 82  | male     | White - British                    | some college                  | free/reduced | completed          |           50 |              47 |              54 |         50.3333 |
| 83  | male     | Mixed - White and Black African    | associate's degree            | standard     | none               |           72 |              64 |              63 |         66.3333 |
| 84  | male     | Mixed - White and Black Caribbean  | high school                   | free/reduced | none               |           42 |              39 |              34 |         38.3333 |
| 85  | female   | White - Any other White background | some college                  | standard     | none               |           73 |              80 |              82 |         78.3333 |
| 86  | female   | White - Any other White background | some college                  | free/reduced | none               |           76 |              83 |              88 |         82.3333 |
| 87  | female   | Mixed - White and Black Caribbean  | associate's degree            | standard     | none               |           71 |              71 |              74 |         72      |
| 88  | female   | White - British                    | some college                  | standard     | none               |           58 |              70 |              67 |         65      |
| 89  | female   | Mixed - White and Black Caribbean  | some high school              | standard     | none               |           73 |              86 |              82 |         80.3333 |
| 90  | female   | White - Any other White background | bachelor's degree             | standard     | none               |           65 |              72 |              74 |         70.3333 |
| 91  | male     | White - Any other White background | high school                   | free/reduced | none               |           27 |              34 |              36 |         32.3333 |
| 92  | male     | White - Any other White background | high school                   | standard     | none               |           71 |              79 |              71 |         73.6667 |
| 93  | male     | White - Any other White background | associate's degree            | free/reduced | completed          |           43 |              45 |              50 |         46      |
| 94  | female   | White - Irish                      | some college                  | standard     | none               |           79 |              86 |              92 |         85.6667 |
| 95  | male     | White - Any other White background | associate's degree            | free/reduced | completed          |           78 |              81 |              82 |         80.3333 |
| 96  | male     | White - Irish                      | some high school              | standard     | completed          |           65 |              66 |              62 |         64.3333 |
| 97  | female   | Mixed - White and Black African    | some college                  | standard     | completed          |           63 |              72 |              70 |         68.3333 |
| 98  | female   | Mixed - White and Black Caribbean  | some college                  | free/reduced | none               |           58 |              67 |              62 |         62.3333 |
| 99  | female   | Mixed - White and Black Caribbean  | bachelor's degree             | standard     | none               |           65 |              67 |              62 |         64.6667 |
| 100 | male     | White - Irish                      | some college                  | standard     | none               |           79 |              67 |              67 |         71      |
| 101 | male     | Mixed - White and Black Caribbean  | bachelor's degree             | standard     | completed          |           68 |              74 |              74 |         72      |
| 102 | female   | Mixed - White and Black Caribbean  | associate's degree            | standard     | none               |           85 |              91 |              89 |         88.3333 |
| 103 | male     | White - Irish                      | high school                   | standard     | completed          |           60 |              44 |              47 |         50.3333 |
| 104 | male     | White - Any other White background | some college                  | standard     | completed          |           98 |              86 |              90 |         91.3333 |
| 105 | female   | White - Any other White background | some college                  | standard     | none               |           58 |              67 |              72 |         65.6667 |
| 106 | female   | Mixed - White and Black Caribbean  | master's degree               | standard     | none               |           87 |             100 |             100 |         95.6667 |
| 107 | male     | Mixed - White and Black African    | associate's degree            | standard     | completed          |           66 |              63 |              64 |         64.3333 |
| 108 | female   | White - Irish                      | associate's degree            | free/reduced | none               |           52 |              76 |              70 |         66      |
| 109 | female   | White - Irish                      | some high school              | standard     | none               |           70 |              64 |              72 |         68.6667 |
| 110 | female   | Mixed - White and Black Caribbean  | associate's degree            | free/reduced | completed          |           77 |              89 |              98 |         88      |
| 111 | male     | White - Any other White background | high school                   | standard     | none               |           62 |              55 |              49 |         55.3333 |
| 112 | male     | White - British                    | associate's degree            | standard     | none               |           54 |              53 |              47 |         51.3333 |
| 113 | female   | Mixed - White and Black Caribbean  | some college                  | standard     | none               |           51 |              58 |              54 |         54.3333 |
| 114 | female   | Mixed - White and Black African    | bachelor's degree             | standard     | completed          |           99 |             100 |             100 |         99.6667 |
| 115 | male     | White - Any other White background | high school                   | standard     | none               |           84 |              77 |              74 |         78.3333 |
| 116 | female   | White - Irish                      | bachelor's degree             | free/reduced | none               |           75 |              85 |              82 |         80.6667 |
| 117 | female   | Mixed - White and Black Caribbean  | bachelor's degree             | standard     | none               |           78 |              82 |              79 |         79.6667 |
| 118 | female   | Mixed - White and Black Caribbean  | some high school              | standard     | none               |           51 |              63 |              61 |         58.3333 |
| 119 | female   | White - Any other White background | some college                  | standard     | none               |           55 |              69 |              65 |         63      |
| 120 | female   | White - Any other White background | bachelor's degree             | standard     | completed          |           79 |              92 |              89 |         86.6667 |
| 121 | male     | White - Irish                      | associate's degree            | standard     | completed          |           91 |              89 |              92 |         90.6667 |
| 122 | female   | White - Any other White background | some college                  | standard     | completed          |           88 |              93 |              93 |         91.3333 |
| 123 | male     | Mixed - White and Black Caribbean  | high school                   | free/reduced | none               |           63 |              57 |              56 |         58.6667 |
| 124 | male     | Mixed - White and Black African    | some college                  | standard     | none               |           83 |              80 |              73 |         78.6667 |
| 125 | female   | White - Irish                      | high school                   | standard     | none               |           87 |              95 |              86 |         89.3333 |
| 126 | male     | White - Irish                      | some high school              | standard     | none               |           72 |              68 |              67 |         69      |
| 127 | male     | Mixed - White and Black Caribbean  | some college                  | standard     | completed          |           65 |              77 |              74 |         72      |
| 128 | male     | Mixed - White and Black Caribbean  | master's degree               | standard     | none               |           82 |              82 |              74 |         79.3333 |
| 129 | female   | White - British                    | bachelor's degree             | standard     | none               |           51 |              49 |              51 |         50.3333 |
| 130 | male     | Mixed - White and Black Caribbean  | master's degree               | standard     | none               |           89 |              84 |              82 |         85      |
| 131 | male     | White - Any other White background | some high school              | free/reduced | completed          |           53 |              37 |              40 |         43.3333 |
| 132 | male     | Mixed - White and Black African    | some college                  | free/reduced | completed          |           87 |              74 |              70 |         77      |
| 133 | female   | White - Any other White background | some college                  | standard     | completed          |           75 |              81 |              84 |         80      |
| 134 | male     | Mixed - White and Black Caribbean  | bachelor's degree             | free/reduced | completed          |           74 |              79 |              75 |         76      |
| 135 | male     | White - Any other White background | bachelor's degree             | standard     | none               |           58 |              55 |              48 |         53.6667 |
| 136 | male     | White - Irish                      | some high school              | standard     | completed          |           51 |              54 |              41 |         48.6667 |
| 137 | male     | Mixed - White and Black African    | high school                   | standard     | none               |           70 |              55 |              56 |         60.3333 |
| 138 | female   | White - Any other White background | associate's degree            | standard     | none               |           59 |              66 |              67 |         64      |
| 139 | male     | Mixed - White and Black Caribbean  | some college                  | standard     | completed          |           71 |              61 |              69 |         67      |
| 140 | female   | Mixed - White and Black Caribbean  | some high school              | standard     | none               |           76 |              72 |              71 |         73      |
| 141 | female   | White - Any other White background | some college                  | free/reduced | none               |           59 |              62 |              64 |         61.6667 |
| 142 | female   | Mixed - White and Black African    | some college                  | free/reduced | completed          |           42 |              55 |              54 |         50.3333 |
| 143 | male     | White - British                    | high school                   | standard     | none               |           57 |              43 |              47 |         49      |
| 144 | male     | Mixed - White and Black Caribbean  | some college                  | standard     | none               |           88 |              73 |              78 |         79.6667 |
| 145 | female   | White - Any other White background | some college                  | free/reduced | none               |           22 |              39 |              33 |         31.3333 |
| 146 | male     | White - Irish                      | some high school              | standard     | none               |           88 |              84 |              75 |         82.3333 |
| 147 | male     | White - Any other White background | associate's degree            | free/reduced | none               |           73 |              68 |              66 |         69      |
| 148 | female   | Mixed - White and Black Caribbean  | bachelor's degree             | standard     | completed          |           68 |              75 |              81 |         74.6667 |
| 149 | male     | Mixed - White and Black African    | associate's degree            | free/reduced | completed          |          100 |             100 |              93 |         97.6667 |
| 150 | male     | White - British                    | some high school              | standard     | completed          |           62 |              67 |              69 |         66      |
| 151 | male     | White - British                    | bachelor's degree             | standard     | none               |           77 |              67 |              68 |         70.6667 |
| 152 | female   | White - Irish                      | associate's degree            | standard     | completed          |           59 |              70 |              66 |         65      |
| 153 | male     | Mixed - White and Black Caribbean  | bachelor's degree             | standard     | none               |           54 |              49 |              47 |         50      |
| 154 | male     | Mixed - White and Black Caribbean  | some high school              | standard     | none               |           62 |              67 |              61 |         63.3333 |
| 155 | female   | White - Any other White background | some college                  | standard     | completed          |           70 |              89 |              88 |         82.3333 |
| 156 | female   | Mixed - White and Black African    | high school                   | free/reduced | completed          |           66 |              74 |              78 |         72.6667 |
| 157 | male     | White - Irish                      | some college                  | free/reduced | none               |           60 |              60 |              60 |         60      |
| 158 | female   | White - Irish                      | associate's degree            | standard     | completed          |           61 |              86 |              87 |         78      |
| 159 | male     | Mixed - White and Black Caribbean  | associate's degree            | free/reduced | none               |           66 |              62 |              64 |         64      |
| 160 | male     | White - Irish                      | associate's degree            | free/reduced | completed          |           82 |              78 |              74 |         78      |
| 161 | female   | Mixed - White and Black African    | some college                  | free/reduced | completed          |           75 |              88 |              85 |         82.6667 |
| 162 | male     | White - Irish                      | master's degree               | free/reduced | none               |           49 |              53 |              52 |         51.3333 |
| 163 | male     | White - Any other White background | high school                   | standard     | none               |           52 |              53 |              49 |         51.3333 |
| 164 | female   | Mixed - White and Black African    | master's degree               | standard     | none               |           81 |              92 |              91 |         88      |
| 165 | female   | White - Any other White background | bachelor's degree             | standard     | completed          |           96 |             100 |             100 |         98.6667 |
| 166 | male     | White - Any other White background | high school                   | free/reduced | completed          |           53 |              51 |              51 |         51.6667 |
| 167 | female   | White - Irish                      | master's degree               | free/reduced | completed          |           58 |              76 |              78 |         70.6667 |
| 168 | female   | White - Irish                      | high school                   | standard     | completed          |           68 |              83 |              78 |         76.3333 |
| 169 | female   | White - Any other White background | some college                  | free/reduced | completed          |           67 |              75 |              70 |         70.6667 |
| 170 | male     | White - British                    | high school                   | standard     | completed          |           72 |              73 |              74 |         73      |
| 171 | male     | Mixed - White and Black African    | some high school              | standard     | none               |           94 |              88 |              78 |         86.6667 |
| 172 | female   | Mixed - White and Black Caribbean  | some college                  | standard     | none               |           79 |              86 |              81 |         82      |
| 173 | female   | White - Any other White background | associate's degree            | standard     | none               |           63 |              67 |              70 |         66.6667 |
| 174 | female   | White - Any other White background | bachelor's degree             | free/reduced | completed          |           43 |              51 |              54 |         49.3333 |
| 175 | female   | White - Any other White background | master's degree               | standard     | completed          |           81 |              91 |              87 |         86.3333 |
| 176 | female   | White - Irish                      | high school                   | free/reduced | completed          |           46 |              54 |              58 |         52.6667 |
| 177 | female   | White - Any other White background | associate's degree            | standard     | completed          |           71 |              77 |              77 |         75      |
| 178 | female   | White - Irish                      | master's degree               | free/reduced | completed          |           52 |              70 |              62 |         61.3333 |
| 179 | female   | Mixed - White and Black Caribbean  | some high school              | standard     | completed          |           97 |             100 |             100 |         99      |
| 180 | male     | White - Any other White background | master's degree               | free/reduced | completed          |           62 |              68 |              75 |         68.3333 |
| 181 | female   | White - Any other White background | some college                  | free/reduced | none               |           46 |              64 |              66 |         58.6667 |
| 182 | female   | Mixed - White and Black African    | high school                   | standard     | none               |           50 |              50 |              47 |         49      |
| 183 | female   | Mixed - White and Black Caribbean  | associate's degree            | standard     | none               |           65 |              69 |              70 |         68      |
| 184 | male     | White - Any other White background | some high school              | free/reduced | completed          |           45 |              52 |              49 |         48.6667 |
| 185 | male     | White - Any other White background | associate's degree            | free/reduced | completed          |           65 |              67 |              65 |         65.6667 |
| 186 | male     | Mixed - White and Black African    | high school                   | standard     | none               |           80 |              76 |              65 |         73.6667 |
| 187 | male     | Mixed - White and Black Caribbean  | some high school              | standard     | completed          |           62 |              66 |              68 |         65.3333 |
| 188 | male     | White - Irish                      | some high school              | free/reduced | none               |           48 |              52 |              45 |         48.3333 |
| 189 | female   | White - Any other White background | bachelor's degree             | standard     | none               |           77 |              88 |              87 |         84      |
| 190 | female   | Mixed - White and Black African    | associate's degree            | standard     | none               |           66 |              65 |              69 |         66.6667 |
| 191 | male     | Mixed - White and Black Caribbean  | some college                  | standard     | completed          |           76 |              83 |              79 |         79.3333 |
| 192 | female   | White - Irish                      | some high school              | standard     | none               |           62 |              64 |              66 |         64      |
| 193 | male     | Mixed - White and Black Caribbean  | some college                  | standard     | completed          |           77 |              62 |              62 |         67      |
| 194 | female   | White - Any other White background | master's degree               | standard     | completed          |           69 |              84 |              85 |         79.3333 |
| 195 | male     | Mixed - White and Black Caribbean  | associate's degree            | standard     | none               |           61 |              55 |              52 |         56      |
| 196 | male     | White - Any other White background | some high school              | free/reduced | completed          |           59 |              69 |              65 |         64.3333 |
| 197 | male     | Mixed - White and Black African    | high school                   | free/reduced | none               |           55 |              56 |              51 |         54      |
| 198 | female   | White - Irish                      | some college                  | free/reduced | none               |           45 |              53 |              55 |         51      |
| 199 | female   | White - Irish                      | bachelor's degree             | free/reduced | none               |           78 |              79 |              76 |         77.6667 |
| 200 | female   | White - Any other White background | associate's degree            | standard     | completed          |           67 |              84 |              86 |         79      |
| 201 | female   | Mixed - White and Black Caribbean  | some college                  | free/reduced | none               |           65 |              81 |              77 |         74.3333 |
| 202 | male     | White - Any other White background | associate's degree            | standard     | none               |           69 |              77 |              69 |         71.6667 |
| 203 | female   | White - Irish                      | associate's degree            | standard     | none               |           57 |              69 |              68 |         64.6667 |
| 204 | male     | White - Any other White background | some college                  | standard     | none               |           59 |              41 |              42 |         47.3333 |
| 205 | male     | Mixed - White and Black Caribbean  | some high school              | standard     | completed          |           74 |              71 |              78 |         74.3333 |
| 206 | male     | Mixed - White and Black African    | bachelor's degree             | standard     | none               |           82 |              62 |              62 |         68.6667 |
| 207 | male     | Mixed - White and Black African    | high school                   | standard     | completed          |           81 |              80 |              76 |         79      |
| 208 | female   | White - Irish                      | some college                  | free/reduced | none               |           74 |              81 |              76 |         77      |
| 209 | female   | White - Irish                      | some college                  | free/reduced | none               |           58 |              61 |              66 |         61.6667 |
| 210 | male     | Mixed - White and Black Caribbean  | some high school              | free/reduced | completed          |           80 |              79 |              79 |         79.3333 |
| 211 | male     | White - Any other White background | some college                  | free/reduced | none               |           35 |              28 |              27 |         30      |
| 212 | female   | White - Any other White background | high school                   | free/reduced | none               |           42 |              62 |              60 |         54.6667 |
| 213 | male     | White - Any other White background | associate's degree            | free/reduced | completed          |           60 |              51 |              56 |         55.6667 |
| 214 | male     | Mixed - White and Black African    | high school                   | standard     | completed          |           87 |              91 |              81 |         86.3333 |
| 215 | male     | White - Irish                      | some high school              | standard     | completed          |           84 |              83 |              75 |         80.6667 |
| 216 | female   | Mixed - White and Black African    | associate's degree            | free/reduced | completed          |           83 |              86 |              88 |         85.6667 |
| 217 | female   | White - Any other White background | high school                   | free/reduced | none               |           34 |              42 |              39 |         38.3333 |
| 218 | male     | White - Irish                      | high school                   | free/reduced | none               |           66 |              77 |              70 |         71      |
| 219 | male     | White - Irish                      | some high school              | standard     | completed          |           61 |              56 |              56 |         57.6667 |
| 220 | female   | Mixed - White and Black Caribbean  | high school                   | standard     | completed          |           56 |              68 |              74 |         66      |
| 221 | male     | White - Irish                      | associate's degree            | standard     | none               |           87 |              85 |              73 |         81.6667 |
| 222 | female   | White - Any other White background | some high school              | free/reduced | none               |           55 |              65 |              62 |         60.6667 |
| 223 | male     | Mixed - White and Black Caribbean  | some high school              | standard     | none               |           86 |              80 |              75 |         80.3333 |
| 224 | female   | White - Irish                      | associate's degree            | standard     | completed          |           52 |              66 |              73 |         63.6667 |
| 225 | female   | Mixed - White and Black African    | master's degree               | free/reduced | none               |           45 |              56 |              54 |         51.6667 |
| 226 | female   | White - Any other White background | some college                  | standard     | none               |           72 |              72 |              71 |         71.6667 |
| 227 | male     | Mixed - White and Black Caribbean  | high school                   | standard     | none               |           57 |              50 |              54 |         53.6667 |
| 228 | male     | White - British                    | some high school              | free/reduced | none               |           68 |              72 |              64 |         68      |
| 229 | female   | White - Any other White background | some college                  | standard     | completed          |           88 |              95 |              94 |         92.3333 |
